[opt] evaluating low-fidelity baseline candidate
[sim] emission 1/72 (count=  1.4%, route=  0.0%) time=2026-02-09T18:00:00+00:00 elapsed=   0.00m eta=  11.83m | aircraft lat=+44.8848 lon= -93.2223 alt=16500.0m ( 54133.9ft) speed= 425.4m/s ( 826.8kt) mach=1.25 eff_mach=1.375 | mode=takeoff_climb | atmo T=214.90K RH=  1.1% p=  95.52hPa c=293.88m/s w_proj=+15.55m/s c_eff=309.42m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +0.00m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  92.9 cutoff=no terminal_alt=[  -50.3,32733.9]m
[sim] emission 59/72 (count= 81.9%, route= 28.7%) time=2026-02-09T18:09:40+00:00 elapsed=   9.67m eta=   2.17m | aircraft lat=+44.1080 lon= -90.3494 alt=17022.9m ( 55849.3ft) speed= 407.5m/s ( 792.2kt) mach=1.20 eff_mach=1.314 | mode=enroute | atmo T=213.13K RH=  1.2% p=  88.04hPa c=292.66m/s w_proj=+17.58m/s c_eff=310.24m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +9.67m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  96.2 cutoff=no terminal_alt=[  -41.6,32842.7]m
[sim] emission 60/72 (count= 83.3%, route= 29.2%) time=2026-02-09T18:09:50+00:00 elapsed=   9.83m eta=   2.00m | aircraft lat=+44.0924 lon= -90.3011 alt=17038.0m ( 55898.9ft) speed= 407.5m/s ( 792.1kt) mach=1.20 eff_mach=1.313 | mode=enroute | atmo T=213.19K RH=  1.2% p=  87.84hPa c=292.70m/s w_proj=+17.62m/s c_eff=310.32m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +9.83m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  99.1 cutoff=no terminal_alt=[  -44.1,32589.3]m
[sim] emission 61/72 (count= 84.7%, route= 29.7%) time=2026-02-09T18:10:00+00:00 elapsed=  10.00m eta=   1.83m | aircraft lat=+44.0771 lon= -90.2526 alt=17047.2m ( 55929.2ft) speed= 407.6m/s ( 792.2kt) mach=1.20 eff_mach=1.313 | mode=enroute | atmo T=213.18K RH=  1.2% p=  87.71hPa c=292.70m/s w_proj=+17.62m/s c_eff=310.32m/s | hrrr=2026-02-09T18:00:00+00:00 dt=+10.00m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  98.4 cutoff=no terminal_alt=[  -27.4,32898.4]m
[sim] emission 62/72 (count= 86.1%, route= 30.2%) time=2026-02-09T18:10:10+00:00 elapsed=  10.17m eta=   1.67m | aircraft lat=+44.0619 lon= -90.2040 alt=17051.8m ( 55944.4ft) speed= 407.5m/s ( 792.2kt) mach=1.20 eff_mach=1.313 | mode=enroute | atmo T=213.24K RH=  1.2% p=  87.65hPa c=292.74m/s w_proj=+17.72m/s c_eff=310.45m/s | hrrr=2026-02-09T18:00:00+00:00 dt=+10.17m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  99.0 cutoff=no terminal_alt=[   -2.1,32959.5]m
[sim] emission 63/72 (count= 87.5%, route= 30.7%) time=2026-02-09T18:10:20+00:00 elapsed=  10.33m eta=   1.50m | aircraft lat=+44.0469 lon= -90.1554 alt=17052.9m ( 55948.0ft) speed= 407.6m/s ( 792.3kt) mach=1.20 eff_mach=1.313 | mode=enroute | atmo T=213.24K RH=  1.2% p=  87.63hPa c=292.74m/s w_proj=+17.70m/s c_eff=310.44m/s | hrrr=2026-02-09T18:00:00+00:00 dt=+10.33m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  98.1 cutoff=no terminal_alt=[  -23.6,32706.8]m
[sim] emission 64/72 (count= 88.9%, route= 31.2%) time=2026-02-09T18:10:30+00:00 elapsed=  10.50m eta=   1.33m | aircraft lat=+44.0320 lon= -90.1066 alt=17051.4m ( 55943.1ft) speed= 407.6m/s ( 792.3kt) mach=1.20 eff_mach=1.312 | mode=enroute | atmo T=213.31K RH=  1.2% p=  87.66hPa c=292.78m/s w_proj=+17.78m/s c_eff=310.56m/s | hrrr=2026-02-09T18:00:00+00:00 dt=+10.50m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  97.2 cutoff=no terminal_alt=[   -9.0,32959.9]m
[sim] emission 65/72 (count= 90.3%, route= 31.6%) time=2026-02-09T18:10:40+00:00 elapsed=  10.67m eta=   1.17m | aircraft lat=+44.0172 lon= -90.0578 alt=17048.1m ( 55932.2ft) speed= 407.6m/s ( 792.4kt) mach=1.20 eff_mach=1.312 | mode=enroute | atmo T=213.34K RH=  1.1% p=  87.70hPa c=292.81m/s w_proj=+17.83m/s c_eff=310.63m/s | hrrr=2026-02-09T18:00:00+00:00 dt=+10.67m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  97.1 cutoff=no terminal_alt=[  -13.5,32808.4]m
[sim] emission 66/72 (count= 91.7%, route= 32.1%) time=2026-02-09T18:10:50+00:00 elapsed=  10.83m eta=   1.00m | aircraft lat=+44.0025 lon= -90.0090 alt=17043.7m ( 55917.5ft) speed= 407.7m/s ( 792.4kt) mach=1.20 eff_mach=1.312 | mode=enroute | atmo T=213.37K RH=  1.1% p=  87.76hPa c=292.83m/s w_proj=+17.89m/s c_eff=310.72m/s | hrrr=2026-02-09T18:00:00+00:00 dt=+10.83m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  97.6 cutoff=no terminal_alt=[  -10.3,32801.9]m
[sim] emission 67/72 (count= 93.1%, route= 32.6%) time=2026-02-09T18:11:00+00:00 elapsed=  11.00m eta=   0.83m | aircraft lat=+43.9878 lon= -89.9602 alt=17038.6m ( 55901.0ft) speed= 407.7m/s ( 792.5kt) mach=1.20 eff_mach=1.312 | mode=enroute | atmo T=213.44K RH=  1.1% p=  87.84hPa c=292.87m/s w_proj=+17.95m/s c_eff=310.83m/s | hrrr=2026-02-09T18:00:00+00:00 dt=+11.00m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  96.6 cutoff=no terminal_alt=[  -18.5,32783.1]m
[sim] emission 68/72 (count= 94.4%, route= 33.1%) time=2026-02-09T18:11:10+00:00 elapsed=  11.17m eta=   0.67m | aircraft lat=+43.9732 lon= -89.9113 alt=17033.5m ( 55884.3ft) speed= 407.7m/s ( 792.5kt) mach=1.20 eff_mach=1.311 | mode=enroute | atmo T=213.48K RH=  1.1% p=  87.91hPa c=292.90m/s w_proj=+18.01m/s c_eff=310.91m/s | hrrr=2026-02-09T18:00:00+00:00 dt=+11.17m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  96.5 cutoff=no terminal_alt=[  -12.9,32944.3]m
[sim] emission 69/72 (count= 95.8%, route= 33.6%) time=2026-02-09T18:11:20+00:00 elapsed=  11.33m eta=   0.50m | aircraft lat=+43.9586 lon= -89.8624 alt=17028.8m ( 55868.7ft) speed= 407.7m/s ( 792.6kt) mach=1.20 eff_mach=1.311 | mode=enroute | atmo T=213.54K RH=  1.1% p=  87.98hPa c=292.95m/s w_proj=+18.05m/s c_eff=311.00m/s | hrrr=2026-02-09T18:00:00+00:00 dt=+11.33m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  98.2 cutoff=no terminal_alt=[  -12.9,32847.3]m
[sim] emission 70/72 (count= 97.2%, route= 34.1%) time=2026-02-09T18:11:30+00:00 elapsed=  11.50m eta=   0.33m | aircraft lat=+43.9440 lon= -89.8135 alt=17024.7m ( 55855.5ft) speed= 407.8m/s ( 792.7kt) mach=1.20 eff_mach=1.311 | mode=enroute | atmo T=213.55K RH=  1.1% p=  88.04hPa c=292.95m/s w_proj=+18.07m/s c_eff=311.02m/s | hrrr=2026-02-09T18:00:00+00:00 dt=+11.50m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  99.5 cutoff=no terminal_alt=[  -10.2,32756.3]m
[sim] emission 71/72 (count= 98.6%, route= 34.6%) time=2026-02-09T18:11:40+00:00 elapsed=  11.67m eta=   0.17m | aircraft lat=+43.9294 lon= -89.7646 alt=17021.7m ( 55845.5ft) speed= 407.8m/s ( 792.6kt) mach=1.20 eff_mach=1.311 | mode=enroute | atmo T=213.56K RH=  1.1% p=  88.08hPa c=292.95m/s w_proj=+18.12m/s c_eff=311.08m/s | hrrr=2026-02-09T18:00:00+00:00 dt=+11.67m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  97.9 cutoff=no terminal_alt=[  -36.6,32707.6]m
[sim] emission 72/72 (count=100.0%, route= 35.1%) time=2026-02-09T18:11:50+00:00 elapsed=  11.83m eta=   0.00m | aircraft lat=+43.9148 lon= -89.7157 alt=17020.0m ( 55839.8ft) speed= 407.8m/s ( 792.7kt) mach=1.20 eff_mach=1.311 | mode=enroute | atmo T=213.59K RH=  1.1% p=  88.10hPa c=292.98m/s w_proj=+18.14m/s c_eff=311.12m/s | hrrr=2026-02-09T18:00:00+00:00 dt=+11.83m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  97.6 cutoff=no terminal_alt=[  -10.3,32805.0]m
[sim] stop reason=max_emissions_reached emissions=72 distance_to_destination=557,819.1 m
[sim] population dataset='bundled:us_metro_population_sample.csv' total=7,400,000 exposed=0 area=9,241.0 km^2
[opt] low-fidelity evaluate cand_0004 (generation=1)
[sim] emission 1/72 (count=  1.4%, route=  0.0%) time=2026-02-09T18:00:00+00:00 elapsed=   0.00m eta=  11.83m | aircraft lat=+44.8848 lon= -93.2223 alt=16500.0m ( 54133.9ft) speed= 428.2m/s ( 832.3kt) mach=1.26 eff_mach=1.383 | mode=takeoff_climb | atmo T=214.90K RH=  1.1% p=  95.52hPa c=293.88m/s w_proj=+15.68m/s c_eff=309.56m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +0.00m | rays=8 ground_hits=2 ( 25.0%) avg_pts= 101.9 cutoff=no terminal_alt=[ -107.5,32566.3]m
[sim] emission 2/72 (count=  2.8%, route=  0.5%) time=2026-02-09T18:00:10+00:00 elapsed=   0.17m eta=  11.67m | aircraft lat=+44.8676 lon= -93.1745 alt=16565.2m ( 54347.8ft) speed= 404.7m/s ( 786.7kt) mach=1.19 eff_mach=1.308 | mode=takeoff_climb | atmo T=214.83K RH=  1.1% p=  94.62hPa c=293.83m/s w_proj=+15.66m/s c_eff=309.49m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +0.17m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  94.0 cutoff=no terminal_alt=[  -19.9,32682.0]m
[sim] emission 3/72 (count=  4.2%, route=  1.0%) time=2026-02-09T18:00:20+00:00 elapsed=   0.33m eta=  11.50m | aircraft lat=+44.8503 lon= -93.1263 alt=16621.2m ( 54531.5ft) speed= 412.4m/s ( 801.6kt) mach=1.21 eff_mach=1.333 | mode=takeoff_climb | atmo T=214.81K RH=  1.1% p=  93.85hPa c=293.81m/s w_proj=+15.55m/s c_eff=309.36m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +0.33m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  93.9 cutoff=no terminal_alt=[  -49.4,32666.7]m
[sim] emission 4/72 (count=  5.6%, route=  1.5%) time=2026-02-09T18:00:30+00:00 elapsed=   0.50m eta=  11.33m | aircraft lat=+44.8331 lon= -93.0785 alt=16669.0m ( 54688.2ft) speed= 409.8m/s ( 796.6kt) mach=1.20 eff_mach=1.325 | mode=takeoff_climb | atmo T=214.69K RH=  1.1% p=  93.19hPa c=293.73m/s w_proj=+15.49m/s c_eff=309.22m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +0.50m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  95.0 cutoff=no terminal_alt=[  -16.9,32784.9]m
[sim] emission 5/72 (count=  6.9%, route=  2.0%) time=2026-02-09T18:00:40+00:00 elapsed=   0.67m eta=  11.17m | aircraft lat=+44.8158 lon= -93.0305 alt=16709.8m ( 54822.3ft) speed= 410.6m/s ( 798.1kt) mach=1.21 eff_mach=1.328 | mode=takeoff_climb | atmo T=214.69K RH=  1.1% p=  92.62hPa c=293.73m/s w_proj=+15.39m/s c_eff=309.13m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +0.67m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  96.8 cutoff=no terminal_alt=[  -32.1,32759.5]m
[sim] emission 6/72 (count=  8.3%, route=  2.5%) time=2026-02-09T18:00:50+00:00 elapsed=   0.83m eta=  11.00m | aircraft lat=+44.7985 lon= -92.9827 alt=16744.8m ( 54936.9ft) speed= 410.3m/s ( 797.5kt) mach=1.21 eff_mach=1.328 | mode=takeoff_climb | atmo T=214.57K RH=  1.1% p=  92.13hPa c=293.65m/s w_proj=+15.39m/s c_eff=309.04m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +0.83m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  94.1 cutoff=no terminal_alt=[   -6.8,32700.4]m
[sim] emission 7/72 (count=  9.7%, route=  3.0%) time=2026-02-09T18:01:00+00:00 elapsed=   1.00m eta=  10.83m | aircraft lat=+44.7812 lon= -92.9349 alt=16774.7m ( 55035.0ft) speed= 410.4m/s ( 797.7kt) mach=1.21 eff_mach=1.328 | mode=takeoff_climb | atmo T=214.54K RH=  1.1% p=  91.71hPa c=293.63m/s w_proj=+15.31m/s c_eff=308.94m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +1.00m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  93.9 cutoff=no terminal_alt=[  -37.7,32741.4]m
[sim] emission 8/72 (count= 11.1%, route=  3.5%) time=2026-02-09T18:01:10+00:00 elapsed=   1.17m eta=  10.67m | aircraft lat=+44.7638 lon= -92.8871 alt=16801.8m ( 55123.9ft) speed= 410.3m/s ( 797.5kt) mach=1.21 eff_mach=1.328 | mode=takeoff_climb | atmo T=214.47K RH=  1.0% p=  91.33hPa c=293.58m/s w_proj=+15.30m/s c_eff=308.88m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +1.17m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  94.0 cutoff=no terminal_alt=[  -22.7,32681.1]m
[sim] emission 9/72 (count= 12.5%, route=  4.0%) time=2026-02-09T18:01:20+00:00 elapsed=   1.33m eta=  10.50m | aircraft lat=+44.7465 lon= -92.8393 alt=16827.5m ( 55208.3ft) speed= 410.3m/s ( 797.5kt) mach=1.21 eff_mach=1.329 | mode=takeoff_climb | atmo T=214.37K RH=  1.1% p=  90.95hPa c=293.51m/s w_proj=+15.28m/s c_eff=308.79m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +1.33m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  94.0 cutoff=no terminal_alt=[  -37.6,32764.7]m
[sim] emission 10/72 (count= 13.9%, route=  4.5%) time=2026-02-09T18:01:30+00:00 elapsed=   1.50m eta=  10.33m | aircraft lat=+44.7291 lon= -92.7916 alt=16852.5m ( 55290.2ft) speed= 410.3m/s ( 797.5kt) mach=1.21 eff_mach=1.329 | mode=enroute | atmo T=214.36K RH=  1.1% p=  90.61hPa c=293.51m/s w_proj=+15.23m/s c_eff=308.74m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +1.50m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  94.6 cutoff=no terminal_alt=[  -16.3,32742.6]m
[sim] emission 11/72 (count= 15.3%, route=  5.0%) time=2026-02-09T18:01:40+00:00 elapsed=   1.67m eta=  10.17m | aircraft lat=+44.7117 lon= -92.7439 alt=16877.2m ( 55371.4ft) speed= 410.2m/s ( 797.4kt) mach=1.21 eff_mach=1.329 | mode=enroute | atmo T=214.23K RH=  1.1% p=  90.25hPa c=293.41m/s w_proj=+15.21m/s c_eff=308.63m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +1.67m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  93.2 cutoff=no terminal_alt=[  -13.7,32754.7]m
[sim] emission 12/72 (count= 16.7%, route=  5.5%) time=2026-02-09T18:01:50+00:00 elapsed=   1.83m eta=  10.00m | aircraft lat=+44.6943 lon= -92.6962 alt=16902.2m ( 55453.3ft) speed= 410.2m/s ( 797.4kt) mach=1.21 eff_mach=1.329 | mode=enroute | atmo T=214.12K RH=  1.1% p=  89.89hPa c=293.34m/s w_proj=+15.25m/s c_eff=308.58m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +1.83m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  94.1 cutoff=no terminal_alt=[  -36.3,32744.2]m
[sim] emission 13/72 (count= 18.1%, route=  6.0%) time=2026-02-09T18:02:00+00:00 elapsed=   2.00m eta=   9.83m | aircraft lat=+44.6769 lon= -92.6486 alt=16927.7m ( 55537.1ft) speed= 410.2m/s ( 797.3kt) mach=1.21 eff_mach=1.329 | mode=enroute | atmo T=214.07K RH=  1.1% p=  89.53hPa c=293.31m/s w_proj=+15.29m/s c_eff=308.60m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +2.00m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  91.2 cutoff=no terminal_alt=[  -20.2,32584.7]m
[sim] emission 14/72 (count= 19.4%, route=  6.5%) time=2026-02-09T18:02:10+00:00 elapsed=   2.17m eta=   9.67m | aircraft lat=+44.6595 lon= -92.6010 alt=16954.2m ( 55623.9ft) speed= 410.2m/s ( 797.4kt) mach=1.21 eff_mach=1.329 | mode=enroute | atmo T=214.03K RH=  1.1% p=  89.16hPa c=293.28m/s w_proj=+15.27m/s c_eff=308.55m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +2.17m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  95.2 cutoff=no terminal_alt=[  -30.6,32733.9]m
[sim] emission 15/72 (count= 20.8%, route=  7.0%) time=2026-02-09T18:02:20+00:00 elapsed=   2.33m eta=   9.50m | aircraft lat=+44.6420 lon= -92.5534 alt=16981.8m ( 55714.6ft) speed= 410.2m/s ( 797.3kt) mach=1.21 eff_mach=1.329 | mode=enroute | atmo T=214.02K RH=  1.1% p=  88.77hPa c=293.27m/s w_proj=+15.26m/s c_eff=308.53m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +2.33m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  94.2 cutoff=no terminal_alt=[  -28.4,32788.9]m
[sim] emission 16/72 (count= 22.2%, route=  7.5%) time=2026-02-09T18:02:30+00:00 elapsed=   2.50m eta=   9.33m | aircraft lat=+44.6245 lon= -92.5059 alt=17010.9m ( 55810.0ft) speed= 410.2m/s ( 797.3kt) mach=1.21 eff_mach=1.330 | mode=enroute | atmo T=213.97K RH=  1.1% p=  88.37hPa c=293.23m/s w_proj=+15.25m/s c_eff=308.49m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +2.50m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  93.5 cutoff=no terminal_alt=[  -29.8,32725.1]m
[sim] emission 17/72 (count= 23.6%, route=  8.0%) time=2026-02-09T18:02:40+00:00 elapsed=   2.67m eta=   9.17m | aircraft lat=+44.6072 lon= -92.4583 alt=17040.3m ( 55906.4ft) speed= 410.2m/s ( 797.3kt) mach=1.21 eff_mach=1.330 | mode=enroute | atmo T=213.96K RH=  1.1% p=  87.96hPa c=293.23m/s w_proj=+15.18m/s c_eff=308.41m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +2.67m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  94.1 cutoff=no terminal_alt=[   -8.6,32577.0]m
[sim] emission 18/72 (count= 25.0%, route=  8.5%) time=2026-02-09T18:02:50+00:00 elapsed=   2.83m eta=   9.00m | aircraft lat=+44.5906 lon= -92.4102 alt=17062.4m ( 55979.1ft) speed= 410.1m/s ( 797.2kt) mach=1.21 eff_mach=1.330 | mode=enroute | atmo T=213.93K RH=  1.1% p=  87.65hPa c=293.21m/s w_proj=+15.17m/s c_eff=308.38m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +2.83m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  94.0 cutoff=no terminal_alt=[  -50.6,32837.0]m
[sim] emission 19/72 (count= 26.4%, route=  8.9%) time=2026-02-09T18:03:00+00:00 elapsed=   3.00m eta=   8.83m | aircraft lat=+44.5748 lon= -92.3616 alt=17077.6m ( 56028.9ft) speed= 410.1m/s ( 797.2kt) mach=1.21 eff_mach=1.330 | mode=enroute | atmo T=213.93K RH=  1.1% p=  87.45hPa c=293.21m/s w_proj=+15.15m/s c_eff=308.35m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +3.00m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  93.5 cutoff=no terminal_alt=[  -30.1,32791.6]m
[sim] emission 20/72 (count= 27.8%, route=  9.4%) time=2026-02-09T18:03:10+00:00 elapsed=   3.17m eta=   8.67m | aircraft lat=+44.5595 lon= -92.3126 alt=17087.2m ( 56060.4ft) speed= 410.1m/s ( 797.2kt) mach=1.21 eff_mach=1.330 | mode=enroute | atmo T=213.86K RH=  1.1% p=  87.32hPa c=293.17m/s w_proj=+15.16m/s c_eff=308.33m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +3.17m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  94.9 cutoff=no terminal_alt=[  -32.2,32608.2]m
[sim] emission 21/72 (count= 29.2%, route= 10.0%) time=2026-02-09T18:03:20+00:00 elapsed=   3.33m eta=   8.50m | aircraft lat=+44.5448 lon= -92.2634 alt=17092.4m ( 56077.6ft) speed= 410.1m/s ( 797.2kt) mach=1.21 eff_mach=1.330 | mode=enroute | atmo T=213.86K RH=  1.1% p=  87.25hPa c=293.17m/s w_proj=+15.19m/s c_eff=308.36m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +3.33m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  92.4 cutoff=no terminal_alt=[  -38.2,32580.9]m
[sim] emission 22/72 (count= 30.6%, route= 10.4%) time=2026-02-09T18:03:30+00:00 elapsed=   3.50m eta=   8.33m | aircraft lat=+44.5304 lon= -92.2140 alt=17094.3m ( 56083.7ft) speed= 410.1m/s ( 797.2kt) mach=1.21 eff_mach=1.330 | mode=enroute | atmo T=213.83K RH=  1.1% p=  87.23hPa c=293.14m/s w_proj=+15.22m/s c_eff=308.36m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +3.50m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  93.4 cutoff=no terminal_alt=[  -19.7,32656.3]m
[sim] emission 23/72 (count= 31.9%, route= 10.9%) time=2026-02-09T18:03:40+00:00 elapsed=   3.67m eta=   8.17m | aircraft lat=+44.5163 lon= -92.1644 alt=17093.8m ( 56081.9ft) speed= 410.1m/s ( 797.2kt) mach=1.21 eff_mach=1.330 | mode=enroute | atmo T=213.83K RH=  1.1% p=  87.24hPa c=293.14m/s w_proj=+15.20m/s c_eff=308.35m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +3.67m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  95.0 cutoff=no terminal_alt=[  -12.8,32778.0]m
[sim] emission 24/72 (count= 33.3%, route= 11.4%) time=2026-02-09T18:03:50+00:00 elapsed=   3.83m eta=   8.00m | aircraft lat=+44.5025 lon= -92.1146 alt=17091.6m ( 56074.8ft) speed= 410.1m/s ( 797.2kt) mach=1.21 eff_mach=1.330 | mode=enroute | atmo T=213.74K RH=  1.1% p=  87.28hPa c=293.08m/s w_proj=+15.35m/s c_eff=308.43m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +3.83m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  94.4 cutoff=no terminal_alt=[  -43.5,32812.3]m
[sim] emission 25/72 (count= 34.7%, route= 11.9%) time=2026-02-09T18:04:00+00:00 elapsed=   4.00m eta=   7.83m | aircraft lat=+44.4888 lon= -92.0648 alt=17088.4m ( 56064.3ft) speed= 410.1m/s ( 797.3kt) mach=1.21 eff_mach=1.330 | mode=enroute | atmo T=213.74K RH=  1.1% p=  87.32hPa c=293.08m/s w_proj=+15.35m/s c_eff=308.42m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +4.00m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  96.1 cutoff=no terminal_alt=[  -45.1,32837.4]m
[sim] emission 26/72 (count= 36.1%, route= 12.4%) time=2026-02-09T18:04:10+00:00 elapsed=   4.17m eta=   7.67m | aircraft lat=+44.4753 lon= -92.0149 alt=17084.8m ( 56052.4ft) speed= 410.1m/s ( 797.2kt) mach=1.21 eff_mach=1.330 | mode=enroute | atmo T=213.64K RH=  1.1% p=  87.37hPa c=293.01m/s w_proj=+15.41m/s c_eff=308.42m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +4.17m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  95.2 cutoff=no terminal_alt=[  -28.8,32830.9]m
[sim] emission 27/72 (count= 37.5%, route= 12.9%) time=2026-02-09T18:04:20+00:00 elapsed=   4.33m eta=   7.50m | aircraft lat=+44.4619 lon= -91.9650 alt=17081.2m ( 56040.6ft) speed= 410.1m/s ( 797.2kt) mach=1.21 eff_mach=1.329 | mode=enroute | atmo T=213.68K RH=  1.1% p=  87.42hPa c=293.04m/s w_proj=+15.51m/s c_eff=308.54m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +4.33m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  95.8 cutoff=no terminal_alt=[  -18.2,32729.6]m
[sim] emission 28/72 (count= 38.9%, route= 13.4%) time=2026-02-09T18:04:30+00:00 elapsed=   4.50m eta=   7.33m | aircraft lat=+44.4486 lon= -91.9150 alt=17078.0m ( 56030.2ft) speed= 410.2m/s ( 797.3kt) mach=1.21 eff_mach=1.329 | mode=enroute | atmo T=213.68K RH=  1.1% p=  87.47hPa c=293.04m/s w_proj=+15.57m/s c_eff=308.61m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +4.50m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  96.2 cutoff=no terminal_alt=[  -40.1,32609.3]m
[sim] emission 29/72 (count= 40.3%, route= 13.9%) time=2026-02-09T18:04:40+00:00 elapsed=   4.67m eta=   7.17m | aircraft lat=+44.4354 lon= -91.8649 alt=17075.6m ( 56022.4ft) speed= 410.2m/s ( 797.4kt) mach=1.21 eff_mach=1.329 | mode=enroute | atmo T=213.61K RH=  1.1% p=  87.51hPa c=292.99m/s w_proj=+15.65m/s c_eff=308.64m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +4.67m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  94.2 cutoff=no terminal_alt=[   -3.3,32826.2]m
[sim] emission 30/72 (count= 41.7%, route= 14.4%) time=2026-02-09T18:04:50+00:00 elapsed=   4.83m eta=   7.00m | aircraft lat=+44.4221 lon= -91.8149 alt=17074.3m ( 56018.1ft) speed= 410.2m/s ( 797.4kt) mach=1.21 eff_mach=1.329 | mode=enroute | atmo T=213.61K RH=  1.1% p=  87.52hPa c=292.99m/s w_proj=+15.71m/s c_eff=308.70m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +4.83m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  96.1 cutoff=no terminal_alt=[  -50.2,32829.5]m
[sim] emission 31/72 (count= 43.1%, route= 14.9%) time=2026-02-09T18:05:00+00:00 elapsed=   5.00m eta=   6.83m | aircraft lat=+44.4090 lon= -91.7648 alt=17074.4m ( 56018.3ft) speed= 410.2m/s ( 797.4kt) mach=1.21 eff_mach=1.329 | mode=enroute | atmo T=213.52K RH=  1.1% p=  87.53hPa c=292.93m/s w_proj=+15.73m/s c_eff=308.66m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +5.00m | rays=8 ground_hits=1 ( 12.5%) avg_pts=  96.6 cutoff=no terminal_alt=[  -46.4,32534.0]m
