[opt] evaluating low-fidelity baseline candidate
[sim] emission 22/72 (count= 30.6%, window= 29.6%, route= 14.0%) time=2026-02-09T18:03:30+00:00 elapsed=   3.50m remaining=   8.33m | aircraft lat=+44.6372 lon= -92.3073 alt=16457.7m ( 53995.2ft) speed= 354.1m/s ( 688.3kt) mach=1.04 eff_mach=1.142 | mode=enroute | atmo T=213.96K RH=  1.2% p=  96.07hPa c=293.23m/s w_proj=+16.76m/s c_eff=309.99m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +3.50m | rays=8 ground_hits=0 (  0.0%) avg_pts=  91.2 cutoff=yes terminal_alt=[32260.0,32590.5]m
[sim] emission 23/72 (count= 31.9%, window= 31.0%, route= 14.7%) time=2026-02-09T18:03:40+00:00 elapsed=   3.67m remaining=   8.17m | aircraft lat=+44.6255 lon= -92.2636 alt=16454.4m ( 53984.1ft) speed= 354.1m/s ( 688.4kt) mach=1.04 eff_mach=1.142 | mode=enroute | atmo T=213.91K RH=  1.2% p=  96.13hPa c=293.19m/s w_proj=+16.97m/s c_eff=310.16m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +3.67m | rays=8 ground_hits=0 (  0.0%) avg_pts=  91.9 cutoff=yes terminal_alt=[32269.5,32482.2]m
[sim] emission 24/72 (count= 33.3%, window= 32.4%, route= 15.3%) time=2026-02-09T18:03:50+00:00 elapsed=   3.83m remaining=   8.00m | aircraft lat=+44.6137 lon= -92.2200 alt=16449.1m ( 53966.8ft) speed= 354.2m/s ( 688.5kt) mach=1.04 eff_mach=1.142 | mode=enroute | atmo T=213.91K RH=  1.2% p=  96.20hPa c=293.19m/s w_proj=+16.98m/s c_eff=310.17m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +3.83m | rays=8 ground_hits=0 (  0.0%) avg_pts=  92.4 cutoff=yes terminal_alt=[32202.6,32703.8]m
[sim] emission 25/72 (count= 34.7%, window= 33.8%, route= 16.0%) time=2026-02-09T18:04:00+00:00 elapsed=   4.00m remaining=   7.83m | aircraft lat=+44.6020 lon= -92.1763 alt=16442.5m ( 53945.1ft) speed= 354.2m/s ( 688.5kt) mach=1.04 eff_mach=1.141 | mode=enroute | atmo T=213.90K RH=  1.2% p=  96.30hPa c=293.19m/s w_proj=+17.11m/s c_eff=310.29m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +4.00m | rays=8 ground_hits=0 (  0.0%) avg_pts=  92.2 cutoff=yes terminal_alt=[32288.0,32743.9]m
[sim] emission 26/72 (count= 36.1%, window= 35.2%, route= 16.7%) time=2026-02-09T18:04:10+00:00 elapsed=   4.17m remaining=   7.67m | aircraft lat=+44.5903 lon= -92.1327 alt=16435.0m ( 53920.7ft) speed= 354.2m/s ( 688.6kt) mach=1.04 eff_mach=1.141 | mode=enroute | atmo T=213.89K RH=  1.2% p=  96.40hPa c=293.18m/s w_proj=+17.32m/s c_eff=310.50m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +4.17m | rays=8 ground_hits=0 (  0.0%) avg_pts=  91.9 cutoff=yes terminal_alt=[32282.1,32690.0]m
[sim] emission 27/72 (count= 37.5%, window= 36.6%, route= 17.3%) time=2026-02-09T18:04:20+00:00 elapsed=   4.33m remaining=   7.50m | aircraft lat=+44.5786 lon= -92.0890 alt=16427.2m ( 53895.0ft) speed= 354.3m/s ( 688.7kt) mach=1.04 eff_mach=1.141 | mode=enroute | atmo T=213.88K RH=  1.2% p=  96.51hPa c=293.17m/s w_proj=+17.46m/s c_eff=310.63m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +4.33m | rays=8 ground_hits=0 (  0.0%) avg_pts=  93.0 cutoff=yes terminal_alt=[32163.1,32660.6]m
[sim] emission 28/72 (count= 38.9%, window= 38.0%, route= 18.0%) time=2026-02-09T18:04:30+00:00 elapsed=   4.50m remaining=   7.33m | aircraft lat=+44.5668 lon= -92.0453 alt=16419.4m ( 53869.3ft) speed= 354.3m/s ( 688.8kt) mach=1.04 eff_mach=1.140 | mode=enroute | atmo T=213.87K RH=  1.2% p=  96.62hPa c=293.17m/s w_proj=+17.61m/s c_eff=310.78m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +4.50m | rays=8 ground_hits=0 (  0.0%) avg_pts=  91.8 cutoff=yes terminal_alt=[32271.5,32568.7]m
[sim] emission 29/72 (count= 40.3%, window= 39.4%, route= 18.7%) time=2026-02-09T18:04:40+00:00 elapsed=   4.67m remaining=   7.17m | aircraft lat=+44.5551 lon= -92.0015 alt=16411.8m ( 53844.6ft) speed= 354.4m/s ( 688.9kt) mach=1.04 eff_mach=1.140 | mode=enroute | atmo T=213.85K RH=  1.2% p=  96.72hPa c=293.16m/s w_proj=+17.79m/s c_eff=310.94m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +4.67m | rays=8 ground_hits=0 (  0.0%) avg_pts=  90.9 cutoff=yes terminal_alt=[32204.3,32648.1]m
[sim] emission 30/72 (count= 41.7%, window= 40.8%, route= 19.3%) time=2026-02-09T18:04:50+00:00 elapsed=   4.83m remaining=   7.00m | aircraft lat=+44.5433 lon= -91.9578 alt=16404.8m ( 53821.7ft) speed= 354.4m/s ( 689.0kt) mach=1.04 eff_mach=1.140 | mode=enroute | atmo T=213.86K RH=  1.2% p=  96.82hPa c=293.16m/s w_proj=+17.81m/s c_eff=310.97m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +4.83m | rays=8 ground_hits=0 (  0.0%) avg_pts=  92.4 cutoff=yes terminal_alt=[32178.2,32664.5]m
[sim] emission 31/72 (count= 43.1%, window= 42.3%, route= 20.0%) time=2026-02-09T18:05:00+00:00 elapsed=   5.00m remaining=   6.83m | aircraft lat=+44.5316 lon= -91.9141 alt=16398.7m ( 53801.4ft) speed= 354.4m/s ( 689.0kt) mach=1.04 eff_mach=1.139 | mode=enroute | atmo T=213.91K RH=  1.2% p=  96.90hPa c=293.20m/s w_proj=+17.90m/s c_eff=311.10m/s | hrrr=2026-02-09T18:00:00+00:00 dt= +5.00m | rays=8 ground_hits=0 (  0.0%) avg_pts=  91.9 cutoff=yes terminal_alt=[32222.4,32638.0]m
